name	phone	email	email_host	website	category	address	city	region	zip	country	google_rank	facebook	instagram	twitter	linkedin	googlestars	googlereviewscount	yelpstars	yelpreviewscount	facebookstars	facebookreviewscount	facebookpixel	googlepixel	criteopixel	seo_schema	googleanalytics	linkedinanalytics	uses_wordpress	mobilefriendly	uses_shopify	domain_registration	domain_expiration	domain_registrar	domain_nameserver	instagram_name	instagram_is_verified	instagram_is_business_account	instagram_media_count	instagram_highlight_reel_count	instagram_followers	instagram_following	instagram_category	instagram_average_likes	instagram_average_comments	ads_yelp	ads_facebook	ads_instagram	ads_messenger	ads_adwords	g_maps_claimed	g_maps	search_keyword	search_city
name,phone,email,email_host,website,category,address,city,region,zip,country,google_rank,facebook,instagram,twitter,linkedin,googlestars,googlereviewscount,yelpstars,yelpreviewscount,facebookstars,facebookreviewscount,facebookpixel,googlepixel,criteopixel,seo_schema,googleanalytics,linkedinanalytics,uses_wordpress,mobilefriendly,uses_shopify,domain_registration,domain_expiration,domain_registrar,domain_nameserver,instagram_name,instagram_is_verified,instagram_is_business_account,instagram_media_count,instagram_highlight_reel_count,instagram_followers,instagram_following,instagram_category,instagram_average_likes,instagram_average_comments,ads_yelp,ads_facebook,ads_instagram,ads_messenger,ads_adwords,g_maps_claimed,g_maps,search_keyword,search_city
Wedding Photographer Melbourne,61432329021,hello@twentyonestudio.com.au,google.com,https://twentyonestudio.com.au/,Wedding photographer,36-38 Gipps St,,Victoria,3066,AU,35,https://www.facebook.com/twentyonestudiomelb,https://www.instagram.com/twentyonestudiomelb,,,4.9,46,,,5,28,y,y,n,y,y,n,y,y,n,,,,,Melbourne Wedding Photographer,,1,539,17,1382,1027,Food & Personal Goods,11,2,,1,1,,,https://g.page/twentyonestudio,claimed,Photographers,Melbourne
Red Carpet Event Photography,61490100232,enquiries@redcarpetphotos.com.au,hostingplatform.net.au,http://www.redcarpetphotos.com.au/,Photographer,Melbourne VIC 3068,Melbourne,Victoria,3068,AU,,,,,,5,1,,,,,n,n,n,n,n,n,y,y,n,,,,,,,,,,,,,,,,,,,,"https://maps.google.com/maps/place/Red+Carpet+Event+Photography/@-37.81388,144.963259,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0xD327C46D14E7DC06!8m2!3d-37.81388!4d144.963259",unclaimed,Photographers,Melbourne
James Buchanan Photography,61393507174,forms@jbprophoto.com,hostingsvr.net,http://www.jbprophoto.com/,Commercial photographer,317 Elizabeth St,Melbourne,Victoria,3000,AU,,,,,,5,1,,,,,n,n,n,n,n,n,n,y,n,2000-06-23,2025-06-23,Synergy Wholesale Pty Ltd,hostingsvr.net,,,,,,,,,,,,,,,,https://g.page/james-buchanan-photography,unclaimed,Photographers,Melbourne
Ferndara Creative,61,info@ferndara.com,siteground.com,https://www.ferndara.com.au/,Wedding photographer,Abbotsford Street,Melbourne,Victoria,3051,AU,,,https://www.instagram.com/ferndara,https://www.twitter.com/ferndara,,4.6,83,,,,,n,n,n,n,n,n,y,y,n,,,,,Ferndara,,1,782,7,9667,852,Creators & Celebrities,149,7,,,,,,https://g.page/,claimed,Photographers,Melbourne
Exclusive Photography Melbourne,61398273000,info@exclusivephotography.com,hostingplatform.net.au,https://www.exclusivephotography.com/,Portrait studio,234 Coppin St,RICHMOND,Victoria,3121,AU,33,,https://www.instagram.com/exclusivephotographymelbourne,,https://www.linkedin.com/company/exclusive-photography-vic-pty-ltd,4.7,1148,,,,,n,n,n,y,n,n,n,y,y,2004-05-29,2023-05-29,Webcentral Group Limited dba Melbourne IT,hostingplatform.net.au,Exclusive Photography,,1,1800,3,4101,1892,Creators & Celebrities,17,2,,,,,,"https://maps.google.com/maps/place/Exclusive+Photography+Melbourne/@-37.826571,145.0022603,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0xB25FC94BBD0B04A7!8m2!3d-37.826571!4d145.0022603",claimed,Photographers,Melbourne
The Light Industry,61402746041,skilluke@gmail.com,google.com,http://www.thelightindustry.com/,Video production service,Collins St,Melbourne,Victoria,3000,AU,,,https://www.instagram.com/lightindustrytv,,,5,1,,,,,n,y,n,n,n,n,n,y,n,2017-03-23,2026-03-23,Network Solutions,wixdns.net,The Light Industry / TV,,1,105,,69,85,Publishers,2,,,,,,,https://g.page/,claimed,Photographers,Melbourne
Crystal D Studio,61480080210,info@crystaldstudio.com.au,google.com,http://www.crystaldstudio.com.au/,Wedding photographer,Exchange Tower,Melbourne,Victoria,3000,AU,,,https://www.instagram.com/crystald.studio,,,5,37,,,,,y,y,n,n,y,n,n,y,n,,,,,Crystal D Studio,,1,72,2,788,323,Home Services,24,2,,,,,,https://g.page/crystaldstudio,claimed,Photographers,Melbourne
Verve Portraits,61300083783,info@verveportraits.com.au,outlook.com,http://verveportraits.com.au/,Photographer,59 Park St,Richmond,Victoria,3205,AU,,https://www.facebook.com/verveportraits,https://www.instagram.com/verveportraits,,https://www.linkedin.com/company/verve-portraits,4.8,573,,,4.4,623,n,n,n,y,y,n,y,y,n,,,,,Verve Portraits,,1,1840,10,19444,887,Creators & Celebrities,79,6,,1,1,1,,"https://maps.google.com/maps/place/Verve+Portraits/@-37.833477699999996,144.9684664,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x7ED30AFAA1EFE070!8m2!3d-37.833477699999996!4d144.9684664",claimed,Photographers,Melbourne
Lavan Photography,61452366678,info@lavanphoto.com.au,zoho.com,http://lavanphoto.com.au/,Photography service,Queens Lane,Melbourne,Victoria,3004,AU,,,https://www.instagram.com/lavanphotography,https://www.twitter.com/lavanphotograp1,,4.9,8,,,,,n,y,n,y,y,n,n,y,n,,,,,Lavan Photography,,1,307,,1093,92,Creators & Celebrities,12,1,,,,,,"https://maps.google.com/maps/place/Lavan+Photography/@-37.8357683,144.9738758,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x3883B03C56B28F43!8m2!3d-37.8357683!4d144.9738758",claimed,Photographers,Melbourne
Melbourne Photography,61390053552,info@melbourne-photography.com.au,syd02.ds.network,http://www.melbournephotography.com/,Photography service,2 Gale St,EAST BRUNSWICK,Victoria,3057,AU,43,,https://www.instagram.com/melbournephotographyptyltd,https://www.twitter.com/melbourneph,,5,73,,,,,n,n,n,n,y,n,n,y,n,2014-12-20,2022-12-20,,,Melbourne Photography,,,245,,491,553,,41,2,,,,,,"https://maps.google.com/maps/place/Melbourne+Photography/@-37.7696776,144.9732579,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x2F8EC49127BD6589!8m2!3d-37.7696776!4d144.9732579",claimed,Photographers,Melbourne
Wedding Photographer Videographer Melbourne,61433346651,zoomvideo02@gmail.com,google.com,http://www.zoomvideoproduction.com/,Wedding photographer,Collins Street,Melbourne,Victoria,3000,AU,,,,,,,,,,,,n,y,n,n,n,n,n,y,n,2013-05-11,2023-05-11,Network Solutions,wixdns.net,,,,,,,,,,,,,,,,"https://maps.google.com/maps/place/Wedding+Photographer+Videographer+Melbourne/@-37.817067099999996,144.9601975,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0xCC5E3AD279971B65!8m2!3d-37.817067099999996!4d144.9601975",claimed,Photographers,Melbourne
NJ Productions,61,njmediaproduction@gmail.com,google.com,http://www.njproductions.com.au/,Photographer,Swanston Street,Melbourne,Victoria,1301,AU,,,https://www.instagram.com/njproductionsofficial,,,3.9,7,,,,,n,n,n,y,n,n,y,y,n,,,,,NJ Productions,,1,157,8,202,497,Home Services,7,,,,,,,https://g.page/nj-productions-weddings-events,claimed,Photographers,Melbourne
LENSURE Cinematic & Photography,61447344238,jack@lensure.com.au,google.com,http://www.lensure.com.au/,Wedding photographer,Wangaratta Street,Melbourne,Victoria,3121,AU,82,,https://www.instagram.com/lensure_weddings,,,5,27,,,,,y,y,n,y,y,n,y,y,n,,,,,LENSURE_weddings,,1,714,17,3824,1398,Personal Goods & General Merchandise Stores,13,1,,,,,,"https://maps.google.com/maps/place/LENSURE+Cinematic+&+Photography/@-37.8122,144.96189999999999,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0xC7742D65E9A0F96D!8m2!3d-37.8122!4d144.96189999999999",claimed,Photographers,Melbourne
Kristian Gehradte Photography,61411867558,info@kgphotography.com.au,google.com,http://www.kgphotography.com.au/,Photographer,10/79 Ireland St,Melbourne,Victoria,3003,AU,,,https://www.instagram.com/kristiangehradtephotography,,https://www.linkedin.com/company/kristian-gehradte-photography,5,7,,,,,n,y,n,n,y,n,n,y,n,,,,,Kristian Gehradte,,1,1575,8,2619,1500,Creators & Celebrities,22,3,,,,,,"https://maps.google.com/maps/place/Kristian+Gehradte+Photography/@-37.807251199999996,144.9434224,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0xACBEE1207643036A!8m2!3d-37.807251199999996!4d144.9434224",claimed,Photographers,Melbourne
ICON PHOTOGRAPHY MELBOURNE,61424858244,info@iconphotos.com.au,google.com,https://iconweddingphotography.com.au/,Wedding photographer,Level 2 UL40/1341,West Melbourne,Victoria,1341,AU,51,,https://www.instagram.com/iconphotographymelbourne,,,4.9,44,,,,,n,y,n,n,n,n,n,y,n,,,,,ICON WEDDING PHOTOGRAPHY + FILMS,,1,1556,55,5848,1346,Creators & Celebrities,58,3,,,,,,https://g.page/iconphotographymelbourne,claimed,Photographers,Melbourne
Blue Tree Studios,61390249958,info@bluetreestudios.com.au,mailchannels.net,https://www.bluetreestudios.com.au/,Commercial photographer,2/126 Bertie St,Port Melbourne,Victoria,3207,AU,,,https://www.instagram.com/bluetreestudiosmelbourne,https://www.twitter.com/bluetreemelb,https://www.linkedin.com/company/blue-tree-studios,5,25,,,,,n,y,n,y,y,n,y,y,n,,,,,Blue Tree Studios,,1,98,1,394,260,Local Events,27,1,,,,,,https://g.page/bluetreestudios,claimed,Photographers,Melbourne
Enhance Studios,61300236426,dan@mycloudme.com,google.com,http://www.enhancestudios.com.au/,Photography studio,5/27-33 Raglan St,,Victoria,3205,AU,,,https://www.instagram.com/enhancestudios,,,4.5,35,,,,,y,n,n,y,n,n,y,y,n,,,,,Melbourne Photography Studio,,1,1774,6,1191,1689,Creators & Celebrities,2,2,,,,,,https://g.page/EnhanceStudios,claimed,Photographers,Melbourne
Dezine by Mauro,61394890799,info@dezinebymauro.com,google.com,http://www.dezinebymauro.com/,Wedding photographer,507 Brunswick St,Fitzroy North,Victoria,3068,AU,62,,https://www.instagram.com/dezine_by_mauro,https://www.twitter.com/dezinebymauro,,4.8,72,,,,,n,n,n,y,y,n,y,y,n,2005-03-03,2025-03-03,Dreamscape Networks International Pte Ltd,crazydomains.com,Dezine By Mauro,,1,572,19,12136,1315,Creators & Celebrities,63,3,,,,,,https://g.page/DezineByMauroStudio,claimed,Photographers,Melbourne
Ejm Photography,61405714219,emma@ejmnewbornphotography.com.au,bluehost.com,http://www.ejmnewbornphotography.com.au/,Photographer,44 Crockford St,,Victoria,3207,AU,,,https://www.instagram.com/ejm.photography,,,5,18,,,,,n,y,n,y,y,n,y,y,n,,,,,Ejm Maternity Photography,,1,915,3,2484,1382,Creators & Celebrities,13,2,,,,,,https://g.page/EJMNewbornPhotography,claimed,Photographers,Melbourne
Melbourne School Photography,61498196666,info@melbourneschoolsphotography.com.au,bluehost.com,https://www.melbourneschoolsphotography.com.au/,Photographer,165 Gladstone St,,Victoria,3205,AU,,,https://www.instagram.com/melbourneschoolphotography,https://www.twitter.com/schoolphotomelb,https://www.linkedin.com/in/melbourne-school-photography-943a12116,,,,,,,n,n,n,n,n,n,n,y,n,,,,,Melbourne Schools Photography,,,2,,12,12,,3,,,,,,,"https://maps.google.com/maps/place/Melbourne+School+Photography/@-37.83153,144.9479381,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0xBC75DD95487689DD!8m2!3d-37.83153!4d144.9479381",unclaimed,Photographers,Melbourne
Image Workshop Photography,61432901975,brence@imageworkshop.com,hostyourservices.net,http://www.imageworkshop.com/,Photographer,19 Ireland St,Melbourne,Victoria,3003,AU,,,https://www.instagram.com/image_workshop,,https://www.linkedin.com/company/image-workshop,5,3,,,,,n,y,n,y,y,n,y,y,n,2003-05-01,2024-05-01,,,Image Workshop Photography,,,86,2,193,124,,24,1,,,,,,"https://maps.google.com/maps/place/Image+Workshop+Photography/@-37.807777,144.945231,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x8EC0B3582C35D589!8m2!3d-37.807777!4d144.945231",claimed,Photographers,Melbourne
Sean Tak Photography,61423869982,sean_tak@hotmail.com,outlook.com,http://seantak.com/,Photography service,Melbourne VIC 3000,Melbourne,Victoria,3000,AU,,,https://www.instagram.com/seantakphotography,,,5,3,,,,,n,y,n,y,y,n,n,y,n,2017-04-23,2023-04-23,Tucows Domains Inc.,nsone.net,Melbourne Wedding Photographer,,1,253,1,1277,795,Creators & Celebrities,101,9,,,,,,https://g.page/seantakphotography,claimed,Photographers,Melbourne
Axiom Photography & Design,61398091166,alex@axiomphotography.com.au,outlook.com,http://axiomphotography.com.au/,Photographer,Level 3/162 Collins St,Melbourne,Victoria,3000,AU,,,https://www.instagram.com/axiom_photography_design,,https://www.linkedin.com/company/axiom-photography,4.7,3,,,,,y,n,n,n,n,n,n,y,n,,,,,Axiom Photography & Design,,1,2055,7,3155,2228,Creators & Celebrities,27,1,,,,,,https://g.page/axiomphotographydesign,claimed,Photographers,Melbourne
CORPORATE HEADSHOTS MELBOURNE,61421024573,info@corporateheadshots.com.au,google.com,http://corporateheadshotsmelbourne.com.au/,Photography service,Level 5/111 Cecil St,,Victoria,3205,AU,,,https://www.instagram.com/corporateheadshotsmelb,,https://www.linkedin.com/in/zaharoula-harris-8b840b38,5,32,,,5,15,n,y,n,y,y,n,y,y,n,,,,,Headshot Photographer,,1,832,5,1113,1423,Creators & Celebrities,13,1,,,,,,https://g.page/corporateheadshotsmelbourne,claimed,Photographers,Melbourne
David Fowler Photography,61425730722,info@davidfowler.com,google.com,https://www.davidfowler.com.au/,Photographer,4 Brunswick Pl,Fitzroy,Victoria,3065,AU,11,,https://www.instagram.com/dfowlerphoto,,,4.3,11,,,4.6,13,n,n,n,y,y,n,y,y,n,,,,,Melbourne Photographer,,1,1598,5,636,434,General Interest,10,2,,,,,,https://g.page/dfowlerphoto,claimed,Photographers,Melbourne
Jessica Abby Photography,,hello@jessicaabby.com,google.com,http://www.jessicaabbyphotography.com.au/,Wedding photographer,Level 11/456 Lonsdale St,Melbourne,Victoria,3000,AU,37,,https://www.instagram.com/jessicaabbyphotography,,,5,21,,,,,y,y,n,y,y,n,n,y,n,,,,,J E S S I C A   A B B Y,,1,1407,7,5029,2288,Creators & Celebrities,46,4,,,,,,"https://maps.google.com/maps/place/Jessica+Abby+Photography/@-37.81296040000001,144.9586669,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x4988964B73EAB42E!8m2!3d-37.81296040000001!4d144.9586669",claimed,Photographers,Melbourne
